anzahl,vorname,geschlecht
74,Marie,w
58,Sophie,w
40,Paul,m
38,Maria,w
34,Katharina,w
32,Jakob,m
32,Emilia,w
31,Maximilian,m
30,Alexander,m
28,Mia,w
25,Ben,m
25,Noah,m
25,Emma,w
22,David,m
22,Felix,m
22,Anna,w
22,Leo,m
21,Clara,w
21,Julian,m
21,Leon,m
20,Johanna,w
20,Benjamin,m
19,Lena,w
19,Mila,w
19,Max,m
19,Sophia,w
18,Charlotte,w
17,Anton,m
17,Elias,m
17,Emil,m
16,Greta,w
16,Jonas,m
16,Leonard,m
16,Luca,m
16,Samuel,m
15,Elisabeth,w
15,Lea,w
15,Lina,w
15,Nele,w
15,Jan,m
14,Henry,m
13,Antonia,w
13,Elisa,w
13,Ella,w
13,Finn,m
13,Gabriel,m
13,Jonathan,m
13,Julius,m
13,Karl,m
13,Luis,m
13,Niklas,m
13,Valentin,m
12,Luisa,w
12,Adrian,m
12,Christian,m
12,Johannes,m
12,Liam,m
12,Moritz,m
12,Philipp,m
11,Frieda,w
11,Leni,w
11,Louisa,w
11,Maya,w
11,Sofia,w
11,Johann,m
11,Linus,m
11,Lukas,m
11,Mats,m
11,Simon,m
11,Tim,m
10,Ida,w
10,Jana,w
10,Jule,w
10,Leonie,w
10,Sarah,w
10,Theo,m
10,Tom,m
9,Emily,w
9,Hannah,w
9,Helena,w
9,Lara,w
9,Lotta,w
9,Lucia,w
9,Marlene,w
9,Fabian,m
9,Fynn,m
9,Henri,m
9,Levi,m
9,Louis,m
9,Mika,m
9,Milan,m
9,Vincent,m
8,Amelie,w
8,Eva,w
8,Frida,w
8,Julia,w
8,Lia,w
8,Luise,w
8,Luna,w
8,Mathilda,w
8,Adam,m
8,Hugo,m
8,Joel,m
8,Josef,m
8,Joshua,m
8,Justus,m
8,Konstantin,m
8,Malik,m
7,Alina,w
7,Ava,w
7,Franziska,w
7,Josephine,w
7,Laura,w
7,Magdalena,w
7,Nora,w
7,Paula,w
7,Ali,m
7,Erik,m
7,Frederik,m
7,Georg,m
7,Jonah,m
7,Nick,m
7,Ole,m
7,Oskar,m
7,Robin,m
7,Sebastian,m
7,Tobias,m
6,Amina,w
6,Carla,w
6,Elsa,w
6,Isabella,w
6,Klara,w
6,Lilly,w
6,Matilda,w
6,Mira,w
6,Nina,w
6,Nur,w
6,Olivia,w
6,Rosa,w
6,Valentina,w
6,Victoria,w
6,Viktoria,w
6,Aaron,m
6,Zehra,w
6,Arthur,m
6,Emilio,m
6,Ferdinand,m
6,Fritz,m
6,Lasse,m
6,Martin,m
6,Timo,m
5,Amélie,w
5,Elina,w
5,Jolie,w
5,Josefine,w
5,Juna,w
5,Lilli,w
5,Lisa,w
5,Benedikt,m
5,Mara,w
5,Bruno,m
5,Michelle,w
5,Carl,m
5,Milena,w
5,Constantin,m
5,Mona,w
5,Daniel,m
5,Romy,w
5,Elyas,m
5,Ronja,w
5,Ilyas,m
5,Rosalie,w
5,Jamal,m
5,Sara,w
5,Johan,m
5,Tilda,w
5,Leopold,m
5,Zoe,w
5,Luan,m
5,Luke,m
5,Lutz,m
5,Matthias,m
5,Matti,m
5,Mattis,m
5,Michael,m
5,Miran,m
5,Nils,m
5,Oliver,m
5,Peter,m
5,Sami,m
4,Adriana,w
4,Amira,w
4,Aylin,w
4,Carlotta,w
4,Celine,w
4,Christine,w
4,Dilara,w
4,Edda,w
4,Elena,w
4,Elif,w
4,Elin,w
4,Evelyn,w
4,Anas,m
4,Fiona,w
4,Can,m
4,Hanna,w
4,Clemens,m
4,Henriette,w
4,Colin,m
4,Isabel,w
4,Dennis,m
4,Karla,w
4,Emir,m
4,Leandra,w
4,Emmanuel,m
4,Linda,w
4,Eric,m
4,Liv,w
4,Florian,m
4,Lotte,w
4,Heinrich,m
4,Louise,w
4,Henrik,m
4,Maja,w
4,Ian,m
4,Marta,w
4,Ibrahim,m
4,Mayla,w
4,Ismail,m
4,Melina,w
4,Jasper,m
4,Mina,w
4,Jona,m
4,Pauline,w
4,Kai,m
4,Pia,w
4,Kilian,m
4,Sofie,w
4,Laurenz,m
4,Lennard,m
4,Levin,m
4,Luka,m
4,Malte,m
4,Maria,m
4,Marlon,m
4,Noel,m
4,Omar,m
4,Phil,m
4,Raphael,m
4,Robert,m
4,Roland,m
4,Thiago,m
4,Thomas,m
4,Willi,m
3,Alara,w
3,Alexa,w
3,Alexandra,w
3,Amalia,w
3,Anastasia,w
3,Andrea,w
3,Annabelle,w
3,Annie,w
3,Barbara,w
3,Celina,w
3,Christina,w
3,Doris,w
3,Emely,w
3,Emilie,w
3,Esma,w
3,Fabienne,w
3,Ahmed,m
3,Fritzi,w
3,Ahmet,m
3,Giulia,w
3,Alan,m
3,Grace,w
3,Alessio,m
3,Havin,w
3,Alexandru,m
3,Helen,w
3,Artur,m
3,Helene,w
3,Chris,m
3,Irene,w
3,Denis,m
3,Isabelle,w
3,Emilian,m
3,Jasmin,w
3,Ensar,m
3,Joline,w
3,Eymen,m
3,Juliane,w
3,Filip,m
3,Karlotta,w
3,Georgios,m
3,Kiara,w
3,Gerhard,m
3,Liliana,w
3,Herbert,m
3,Liya,w
3,Ilias,m
3,Liz,w
3,Jannis,m
3,Lucie,w
3,Janosch,m
3,Luzia,w
3,Jon,m
3,Mai,w
3,Julien,m
3,Marit,w
3,Juri,m
3,Merle,w
3,Lars,m
3,Nadja,w
3,Leander,m
3,Ruth,w
3,Lenny,m
3,Samira,w
3,Leonhard,m
3,Teresa,w
3,Lian,m
3,Ulrike,w
3,Lias,m
3,Yara,w
3,Marcel,m
3,Yaren,w
3,Mathias,m
3,Ylva,w
3,Matteo,m
3,Zahra,w
3,Maxim,m
3,Zeynep,w
3,Milo,m
3,Zümra,w
3,Minh,m
3,Mustafa,m
3,Neo,m
3,Nikolaus,m
3,Oscar,m
3,Pepe,m
3,Richard,m
3,Teoman,m
3,Till,m
3,Titus,m
3,Toni,m
3,Wilhelm,m
3,William,m
3,Yann,m
2,Ada,w
2,Adelina,w
2,Agnes,w
2,Alice,w
2,Alissa,w
2,Amelia,w
2,Amy,w
2,Ana,w
2,Angelina,w
2,Anh,w
2,Annalena,w
2,Anne,w
2,Anni,w
2,Anouk,w
2,Aamir,m
2,Ariane,w
2,Ahmad,m
2,Arin,w
2,Aiden,m
2,Arina,w
2,Alejandro,m
2,Asmin,w
2,Aleksander,m
2,Aurelia,w
2,Alen,m
2,Ayşe,w
2,Amin,m
2,Bella,w
2,André,m
2,Brigitte,w
2,Anthony,m
2,Carolin,w
2,Ari,m
2,Carolina,w
2,Arne,m
2,Caroline,w
2,Ayaz,m
2,Christiane,w
2,Benno,m
2,Daria,w
2,Benyamin,m
2,Defne,w
2,Bernd,m
2,Ela,w
2,Bilal,m
2,Eline,w
2,Bjarne,m
2,Elise,w
2,Bo,m
2,Emine,w
2,Brice,m
2,Emmy,w
2,Carlo,m
2,Enni,w
2,Caspar,m
2,Erika,w
2,Damon,m
2,Esila,w
2,Deniz,m
2,Evin,w
2,Diego,m
2,Ewa,w
2,Dylan,m
2,Fatima,w
2,Eden,m
2,Felicia,w
2,Eduardo,m
2,Finja,w
2,Eghosa,m
2,Florentine,w
2,Elia,m
2,Gabriele,w
2,Elie,m
2,Ghislaine,w
2,Emin,m
2,Hafsa,w
2,Frederick,m
2,Hana,w
2,Friedrich,m
2,Henrike,w
2,Gino,m
2,Hermine,w
2,Günter,m
2,Hilda,w
2,Hannes,m
2,Inara,w
2,Hartmut,m
2,Ines,w
2,Hasan,m
2,Iris,w
2,Hendrik,m
2,Isabela,w
2,Henning,m
2,Isabell,w
2,Hubert,m
2,Iva,w
2,Hüseyin,m
2,Jeanne,w
2,Ilai,m
2,Jette,w
2,Ilian,m
2,Joana,w
2,Ilja,m
2,Jolien,w
2,Ioannis,m
2,Jolina,w
2,Isaac,m
2,Jon,w
2,Jacob,m
2,Judith,w
2,Jad,m
2,Julie,w
2,James,m
2,Juno,w
2,Jaro,m
2,Jutta,w
2,Jaron,m
2,Layla,w
2,Jason,m
2,Leah,w
2,Jay,m
2,Liah,w
2,Jim,m
2,Lilia,w
2,Jochen,m
2,Lilian,w
2,Joko,m
2,Linh,w
2,Joscha,m
2,Lisann,w
2,Joschua,m
2,Livia,w
2,Joseph,m
2,Lou,w
2,Jost,m
2,Lynn,w
2,Kaan,m
2,Madita,w
2,Kerim,m
2,Malea,w
2,Kevin,m
2,Malou,w
2,Kian,m
2,Margareta,w
2,Kiyan,m
2,Mari,w
2,Konstantinos,m
2,Mariam,w
2,Krzysztof,m
2,Mariella,w
2,Kurt,m
2,Marla,w
2,Kuzey,m
2,Marleen,w
2,Leevi,m
2,Martha,w
2,Leif,m
2,Maryam,w
2,Leonardo,m
2,Meryem,w
2,Li,m
2,Milla,w
2,Lio,m
2,Miray,w
2,Lion,m
2,Monika,w
2,Lorenz,m
2,Nadine,w
2,Lucas,m
2,Nefeli,w
2,Ludwig,m
2,Nelli,w
2,Manfred,m
2,Nour,w
2,Marcin,m
2,Noémie,w
2,Marian,m
2,Patrizia,w
2,Marius,m
2,Paulina,w
2,Marvellous,m
2,Rebecca,w
2,Mateo,m
2,Sare,w
2,Merlin,m
2,Selin,w
2,Michel,m
2,Shanaya,w
2,Mio,m
2,Shirin,w
2,Mohamed,m
2,Sidney,w
2,Mohammad,m
2,Solveig,w
2,Muhammad,m
2,Stella,w
2,Musa,m
2,Svea,w
2,Naim,m
2,Theresa,w
2,Nico,m
2,Theresia,w
2,Nicolas,m
2,Ursula,w
2,Niko,m
2,Valerie,w
2,Olaf,m
2,Vera,w
2,Onur,m
2,Victory,w
2,Osman,m
2,Yaa,w
2,Philip,m
2,Yagmur,w
2,Prosper,m
2,Yvonne,w
2,Radoslav,m
2,Zara,w
2,Rayan,m
2,Zelal,w
2,René,m
2,Zita,w
2,Ricardo,m
2,Zoé,w
2,Roman,m
2,Said,m
2,Sam,m
2,Selim,m
2,Seyit,m
2,Steven,m
2,Tarek,m
2,Theodor,m
2,Thorben,m
2,Tiago,m
2,Walid,m
2,Walter,m
2,Yahya,m
2,Yanis,m
2,Yannick,m
2,Yasin,m
2,Yassin,m
2,Younes,m
2,Yusuf,m
2,Zain,m
1,Abbey,w
1,Abdelraouf,w
1,Abdullah,w
1,Abebi,w
1,Abeer,w
1,Abubaker,w
1,Adelheid,w
1,Adrina,w
1,Aigbokhae,w
1,Aimee,w
1,Aisle,w
1,Aissata,w
1,Aiza,w
1,Ajna,w
1,Akosua,w
1,Alaa,w
1,Alannah,w
1,Alba,w
1,Aldaja,w
1,Alea,w
1,(ist,m
1,Aleah,w
1,Aarnav,m
1,Alenova,w
1,Aaron-Emmanuel,m
1,Alesandra,w
1,Abbas,m
1,Alessa,w
1,Abd,m
1,Alessandra,w
1,Abdelkader,m
1,Alexandrovna,w
1,Abdou,m
1,Alexia,w
1,Abdoulhadi,m
1,Alexis,w
1,Abdullah,m
1,Alexya,w
1,Abdulmalik,m
1,Aleyna,w
1,Abdur-Rahman,m
1,Aliena,w
1,Abdurrahman,m
1,Alisa,w
1,Adem,m
1,Alizée,w
1,Adil,m
1,Almasa,w
1,Adin,m
1,Alwine,w
1,Aidan,m
1,Amaia,w
1,Aiman,m
1,Amal,w
1,Aimuamwonsa,m
1,Amayah,w
1,Aiwuyor,m
1,Amea,w
1,Akanni,m
1,Amin,w
1,Alaziz,m
1,Aminah,w
1,Aleksiev,m
1,Amonbekovna,w
1,Alenas,m
1,Amália,w
1,Alex,m
1,An,w
1,Alexadar,m
1,Anais-Makiese,w
1,Alexander-Maximilian,m
1,Anastassija,w
1,Alexandros,m
1,Anaëlle,w
1,Aloïs,m
1,Anaïs,w
1,Alp,m
1,Andia,w
1,Alva,m
1,Andra,w
1,Alî,m
1,Anemone,w
1,Amadeus,m
1,Angela,w
1,Amilio,m
1,Anisa,w
1,Amir,m
1,Ann-Kristin,w
1,Amiran,m
1,Anna-Amália,w
1,Amoabeng,m
1,Annabell,w
1,Amon,m
1,Annegret,w
1,Amory,m
1,Annelie,w
1,Amr,m
1,Annemarie,w
1,Amraz,m
1,Annerose,w
1,Andreas,m
1,Annika,w
1,Andrei,m
1,Anny,w
1,Andres,m
1,Antonelia,w
1,Angelo,m
1,Antonia-Anays,w
1,Angelos,m
1,Anyadwe,w
1,Anh,m
1,April,w
1,Aniss,m
1,Arama,w
1,Anjaneya,m
1,Ariana,w
1,Anouar,m
1,Arifka,w
1,Ante,m
1,Arlena,w
1,Antonin,m
1,Armine,w
1,Antonio-Jamil,m
1,Artina,w
1,Antonín,m
1,Arya,w
1,Aras,m
1,Asiya,w
1,Arda,m
1,Assya,w
1,Ardıl,m
1,Astrid,w
1,Ardit,m
1,Aurora,w
1,Arian,m
1,Aurélie,w
1,Arkadius,m
1,Avi-Malaika,w
1,Armando,m
1,Ayla,w
1,Armin,m
1,Aynur,w
1,Arn,m
1,Azra,w
1,Artan,m
1,Bahar,w
1,Artin,m
1,Bander,w
1,Artöm,m
1,Banidele,w
1,Arvid,m
1,Bao,w
1,Arwin,m
1,Barnie,w
1,Asawin,m
1,Bea,w
1,Atanas,m
1,Beata,w
1,Atlas,m
1,Belinay,w
1,Aubin,m
1,Berfin,w
1,Augusto,m
1,Beritan,w
1,Aurel,m
1,Berna,w
1,Aurelio,m
1,Bernadette,w
1,Ayaan,m
1,Bernice,w
1,Ayan,m
1,Bettina,w
1,Ayomikun,m
1,Beyza,w
1,Ayoub,m
1,Blanca,w
1,Azad,m
1,Büşra,w
1,Bachmann,m
1,Camille,w
1,Badibanayi,m
1,Cara,w
1,Bahattin,m
1,Carina,w
1,Ban,m
1,Carmen,w
1,Bara,m
1,Carola,w
1,Baran,m
1,Cataleya,w
1,Beau,m
1,Cathy,w
1,Behrouz,m
1,Caya,w
1,Bela,m
1,Cecilia,w
1,Benne,m
1,Celin,w
1,Bennet,m
1,Chanya,w
1,Bennett,m
1,Chau,w
1,Berat,m
1,Chelsea,w
1,Bernhard,m
1,Chessy,w
1,Bharat,m
1,Chiara,w
1,Bin,m
1,Chinenye,w
1,Björn,m
1,Chloe,w
1,Bobby,m
1,Christa,w
1,Boris,m
1,Christiana,w
1,Boutros,m
1,Clara-Maria,w
1,Brandon,m
1,Cleo,w
1,Burak,m
1,Cleodaisy-Nzanzu,w
1,Béla,m
1,Conny,w
1,Caius,m
1,Constanze,w
1,Carl-Johann,m
1,Corinna,w
1,Carlos,m
1,Cosima,w
1,Carolus,m
1,Cristiana,w
1,Casper,m
1,Célestine,w
1,Cassian,m
1,Dagmar,w
1,Cavit,m
1,Daliha,w
1,Cemil,m
1,Damaris,w
1,Cephas,m
1,Dana,w
1,Cesar,m
1,Danai,w
1,Cesarino,m
1,Dania,w
1,Charalampos,m
1,Daniela,w
1,Charles,m
1,Danielle,w
1,Chidera,m
1,Dayana,w
1,Chikamso,m
1,Debby,w
1,Chinkumbi,m
1,Debora,w
1,Cihan,m
1,Deborah,w
1,Claudio,m
1,Delal,w
1,Collin,m
1,Delia,w
1,Connen,m
1,Denisa,w
1,Connor,m
1,Derin,w
1,Crocodile,m
1,Devrim,w
1,Cédric,m
1,Diana-Viktoria,w
1,Damian,m
1,Dibo,w
1,Damir,m
1,Dielona,w
1,Dane,m
1,Dilan,w
1,Danil,m
1,Dilay,w
1,Danislav,m
1,Dilek,w
1,Darian,m
1,Dima,w
1,das,m
1,Dinoja,w
1,Dave,m
1,Divine,w
1,Davin,m
1,Dora,w
1,Dawid,m
1,Dunja,w
1,Dawin,m
1,Dunya,w
1,Demo,m
1,Duru,w
1,Denisovič,m
1,Duygu,w
1,der,m
1,Dyeunice,w
1,Devon,m
1,Dzana,w
1,Devran,m
1,Ebrar,w
1,Dewrim,m
1,Ecrin,w
1,Diamant,m
1,Edanur,w
1,Dibala,m
1,Eddiana,w
1,Diell,m
1,Eden,w
1,Dieter,m
1,Eden-Grace,w
1,Dietmar,m
1,Edith,w
1,Dietrich,m
1,Eef,w
1,Dirk,m
1,Eefke,w
1,Dobromirov,m
1,Ekaterini,w
1,Dominik,m
1,El,w
1,Domán,m
1,Elaine,w
1,Doruk,m
1,Eleen,w
1,Dritan,m
1,Elfi,w
1,Dumitru,m
1,Elies,w
1,Dwayne,m
1,Elis,w
1,Edgar,m
1,Eliz,w
1,Edin,m
1,Eliza,w
1,Eduard,m
1,Elizabeta,w
1,Edwin,m
1,Elizabeth,w
1,Eleasar,m
1,Elizan,w
1,Eli,m
1,Ellen,w
1,Eliah,m
1,Elli,w
1,Elian,m
1,Ellijana,w
1,Eliyas,m
1,Elmedina,w
1,Elly,m
1,Eloghosa,w
1,Eloan,m
1,Elyon,w
1,Elyes,m
1,Emelie,w
1,Emanuel,m
1,Emely-Sophie,w
1,Emerick,m
1,Emelyn,w
1,Emiliano,m
1,Emilova,w
1,Emilien,m
1,Emmanuella,w
1,Emilijan,m
1,Emylia,w
1,Emran-İsmail,m
1,Ena,w
1,Emre,m
1,Eni,w
1,Enes,m
1,Enida,w
1,Enno,m
1,Enie,w
1,Enrico,m
1,Enna,w
1,Ensio,m
1,Ericka-Yema,w
1,Enzo,m
1,Erin-Elisabeth,w
1,Eo,m
1,Erina,w
1,Eredzhebov,m
1,Erza,w
1,Eren,m
1,Erzsébet,w
1,Ernst,m
1,Eslem,w
1,Ersan,m
1,Esmagül,w
1,Ervin,m
1,Esmay,w
1,Erwin,m
1,Esohe,w
1,Etinosa,m
1,Esohel,w
1,Eugen,m
1,Esosa,w
1,Eugène,m
1,Esra,w
1,Evan,m
1,Estella,w
1,Ewald,m
1,Estelle,w
1,Eyan,m
1,Esther,w
1,Eyk,m
1,Eunice,w
1,Eze,m
1,Ezana,w
1,Faisal,m
1,Fabia,w
1,Farid,m
1,Fajola,w
1,Fatih,m
1,Fanny,w
1,Feivel,m
1,Farina,w
1,Fekret,m
1,Favour,w
1,Ferdi,m
1,Fay,w
1,Fernando,m
1,Faya,w
1,Ferry,m
1,Faïna,w
1,Fitz,m
1,Fedek,w
1,Florentin,m
1,Fee-Sophie,w
1,Florin,m
1,Feli,w
1,Flynn,m
1,Felina,w
1,Francisco,m
1,Feline,w
1,Franjo,m
1,Femke,w
1,Frank,m
1,Fenia,w
1,Franz,m
1,Fenja,w
1,Franz-Josef,m
1,Filippa,w
1,Franz-Joseph,m
1,Flavia,w
1,Frederico,m
1,Fleur,w
1,Fredi,m
1,Franka,w
1,Fridolin,m
1,Frederike,w
1,Frédéric,m
1,Freya,w
1,Fynn-Noel,m
1,Furaha,w
1,Gabriil,m
1,Fynn,w
1,Gael,m
1,Garnette,w
1,Gandalf,m
